Date,Day,Sum of Provincial Data - National,Sum of Provincial Data - National,New cases,New cases,New cases,New cases,New cases,New cases,New cases,New cases,New cases,New cases - 7day moving average,New cases - 7day moving average,New cases - 7day moving average,New cases - 7day moving average,New cases - 7day moving average,New cases - 7day moving average,New cases - 7day moving average,New cases - 7day moving average,New cases - 7day moving average,Tests,Tests,Active cases,Active cases,Active cases,Active cases,Active cases,Active cases,Active cases,Active cases,Active cases,Active cases - 7day moving average,Active cases - 7day moving average,Active cases - 7day moving average,Active cases - 7day moving average,Active cases - 7day moving average,Active cases - 7day moving average,Active cases - 7day moving average,Active cases - 7day moving average,Active cases - 7day moving average,New recoveries,New recoveries,New recoveries,New recoveries,New recoveries,New recoveries,New recoveries,New recoveries,New recoveries,New recoveries - 7 day moving average,New recoveries - 7 day moving average,New recoveries - 7 day moving average,New recoveries - 7 day moving average,New recoveries - 7 day moving average,New recoveries - 7 day moving average,New recoveries - 7 day moving average,New recoveries - 7 day moving average,New recoveries - 7 day moving average,Daily deaths,Daily deaths,Daily deaths,Daily deaths,Daily deaths,Daily deaths,Daily deaths,Daily deaths,Daily deaths,Daily deaths  -7 day moving average,Daily deaths  -7 day moving average,Daily deaths  -7 day moving average,Daily deaths  -7 day moving average,Daily deaths  -7 day moving average,Daily deaths  -7 day moving average,Daily deaths  -7 day moving average,Daily deaths  -7 day moving average,Daily deaths  -7 day moving average,New cases,Daily tests,% pos tests
,,New cases,New cases - 7day moving average,Eastern Cape,Free State,Gauteng,KwaZulu-Natal,Limpopo,Mpumalanga,North West,Northern Cape,Western Cape,Eastern Cape,Free State,Gauteng,KwaZulu-Natal,Limpopo,Mpumalanga,North West,Northern Cape,Western Cape,New Daily tests,Tests total,Eastern Cape,Free State,Gauteng,KwaZulu-Natal,Limpopo,Mpumalanga,North West,Northern Cape,Western Cape,Eastern Cape,Free State,Gauteng,KwaZulu-Natal,Limpopo,Mpumalanga,North West,Northern Cape,Western Cape,Eastern Cape,Free State,Gauteng,KwaZulu-Natal,Limpopo,Mpumalanga,North West,Northern Cape,Western Cape,Eastern Cape,Free State,Gauteng,KwaZulu-Natal,Limpopo,Mpumalanga,North West,Northern Cape,Western Cape,Eastern Cape,Free State,Gauteng,KwaZulu-Natal,Limpopo,Mpumalanga,North West,Northern Cape,Western Cape,Eastern Cape,Free State,Gauteng,KwaZulu-Natal,Limpopo,Mpumalanga,North West,Northern Cape,Western Cape,National,National,National
28 May 20,Thu,0,0,,,,,,,,,,,,,,,,,,,,655723,1529,94,1305,1119,66,44,88,20,8191,1529,94,1305,1119,66,44,88,20,8191,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
29 May 20,Fri,1805,1805,277,6,254,79,26,1,9,1,1152,277,6,254,79,26,1,9,1,1152,24452,680175,1803,99,1533,1198,70,45,97,20,8639,1666,97,1419,1159,68,45,93,20,8415,0,1,26,0,22,0,0,1,673,0,1,13,0,11,0,0,1,337,3,0,0,0,0,0,0,0,31,2,0,0,0,0,0,0,0,16,1805,24452,7
30 May 20,Sat,1726,1766,176,30,190,48,3,1,19,5,1254,227,18,222,64,15,1,14,3,1203,21708,701883,1690,130,1707,1244,30,46,116,25,9187,1674,108,1515,1187,55,45,100,22,8672,287,-1,16,0,43,0,0,0,678,96,0,14,0,22,0,0,0,450,2,0,0,2,0,0,0,0,28,2,0,0,1,0,0,0,0,20,1726,21708,8
31 May 20,Sun,1743,1758,168,17,230,69,4,8,13,12,1222,207,18,225,65,11,3,14,6,1209,23242,725125,1858,146,1910,1245,31,49,129,37,9780,1720,117,1614,1202,49,46,108,26,8949,0,1,25,68,3,5,0,0,591,72,0,17,17,17,1,0,0,486,0,0,2,0,0,0,0,0,38,1,0,1,1,0,0,0,0,24,1743,23242,7
01 Jun 20,Mon,1674,1737,184,7,228,20,15,10,12,13,1185,201,15,226,54,12,5,13,8,1203,17617,742742,1906,154,2138,1265,45,45,141,50,10611,1757,125,1719,1214,48,46,114,30,9282,136,-1,0,0,1,14,0,0,332,85,0,13,14,14,4,0,0,455,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,0,0,24,1674,17617,10
02 Jun 20,Tue,1455,1446,213,14,45,72,1,1,84,9,1016,204,14,45,72,1,1,84,9,1016,18792,761534,2113,168,2183,1336,45,46,211,57,10579,1817,132,1796,1235,48,46,130,35,9498,0,0,0,0,1,0,14,2,1005,71,0,11,11,12,3,2,1,547,6,0,0,1,0,0,0,0,43,2,0,0,1,0,0,0,0,27,1455,18792,8
03 Jun 20,Wed,1714,1686,202,20,291,70,7,5,43,2,1074,203,16,206,60,9,4,30,7,1151,24445,785979,2308,188,2365,1405,52,51,254,59,10364,1887,140,1877,1259,48,47,148,38,9622,0,0,109,0,0,0,0,0,1260,60,0,25,10,10,3,2,0,648,7,0,0,1,0,0,0,0,29,3,0,0,1,0,0,0,0,27,1714,24445,7
04 Jun 20,Thu,3267,1912,410,3,278,162,6,7,50,2,2349,233,14,217,74,9,5,33,6,1322,34696,820675,2381,185,2590,1554,57,58,304,61,11438,2008,153,2061,1321,47,49,179,44,10085,337,5,53,12,1,0,0,0,1221,109,1,33,11,10,3,2,0,823,0,1,0,1,0,0,0,0,54,3,0,0,1,0,0,0,0,35,3267,34696,9
05 Jun 20,Fri,2642,2032,304,14,370,67,9,25,45,7,1801,237,15,233,73,6,8,38,7,1414,30196,850871,2685,204,2831,1503,63,75,335,67,11670,2134,168,2246,1365,46,53,213,51,10518,0,-5,122,118,3,8,14,1,1516,109,0,46,28,7,4,4,0,943,0,0,7,0,0,0,0,0,53,2,0,1,1,0,0,0,0,38,2642,30196,9
06 Jun 20,Sat,2539,2148,389,12,411,80,1,12,59,3,1572,267,12,265,77,6,10,44,7,1460,40797,891668,2862,187,3235,1577,55,87,394,66,12295,2302,176,2465,1412,50,59,253,57,10962,206,29,0,0,9,0,0,4,922,97,4,44,28,3,4,4,1,978,6,0,7,6,0,0,0,0,25,3,0,2,1,0,0,0,0,38,2539,40797,6
07 Jun 20,Sun,2298,2227,345,13,320,92,11,8,55,9,1445,292,12,278,80,7,10,50,6,1492,28396,920064,3207,200,3471,1669,66,86,449,72,13684,2495,184,2688,1473,55,64,298,62,11520,0,0,84,0,0,8,0,3,11,97,4,53,19,2,4,4,1,895,0,0,0,0,0,1,0,0,45,3,0,2,1,0,0,0,0,39,2298,28396,8
08 Jun 20,Mon,2574,2356,367,12,312,67,17,-6,57,4,1744,319,13,290,87,7,7,56,5,1572,22995,943059,3548,212,3783,1735,83,80,506,76,13638,2729,192,2923,1540,60,69,350,65,11953,0,0,0,0,0,0,0,0,1735,78,4,53,19,2,2,4,1,1096,26,0,0,1,0,0,0,0,55,6,0,2,1,0,0,0,0,43,2574,22995,11
09 Jun 20,Tue,2094,2447,419,18,288,80,9,1,24,4,1251,348,13,324,88,9,7,48,4,1605,25011,968070,3108,220,3914,1627,92,72,515,80,13138,2871,199,3170,1581,67,73,394,69,12318,848,10,147,188,0,9,15,0,1690,199,6,74,45,2,4,4,1,1194,11,0,10,0,0,0,0,0,61,7,0,3,1,0,0,0,0,46,2094,25011,8
10 Jun 20,Wed,2430,2549,394,10,649,92,4,23,53,3,1202,375,12,375,91,8,10,49,5,1623,30330,998400,3360,230,4313,1711,79,90,552,82,12232,3022,205,3448,1625,71,78,436,72,12585,133,0,250,6,17,5,16,1,2071,218,6,94,46,4,4,6,1,1309,9,0,0,2,0,0,0,0,37,6,0,2,1,0,0,0,0,42,2430,30330,8
11 Jun 20,Thu,3141,2531,714,5,758,125,10,21,100,7,1401,419,12,444,86,9,12,56,5,1488,29999,1028399,3583,235,5006,1836,89,111,624,79,12406,3193,213,3793,1665,75,86,482,75,12723,460,0,65,0,0,0,24,10,1188,235,5,95,45,4,4,10,3,1305,31,0,0,0,0,0,4,0,39,9,0,2,1,0,0,0,0,42,3141,29999,10
12 Jun 20,Fri,3359,2634,747,29,828,101,21,15,108,6,1504,482,14,509,91,10,11,65,5,1446,32026,1060425,4014,237,5776,1937,109,126,732,85,12486,3383,217,4214,1727,82,93,539,77,12840,286,27,58,0,0,0,0,0,1385,276,9,86,28,4,3,8,3,1286,30,0,0,0,1,0,0,0,39,11,0,2,1,0,0,0,0,44,3359,32026,10
13 Jun 20,Sat,3809,2815,635,22,1116,190,21,28,112,6,1679,517,16,610,107,13,13,73,6,1461,27462,1087887,4474,259,6741,1889,120,154,844,91,12828,3613,228,4715,1772,91,103,603,81,12916,166,0,127,238,10,0,0,0,1301,270,5,104,62,4,3,8,2,1340,9,0,24,0,0,0,0,0,36,12,0,4,1,0,0,0,0,43,3809,27462,14
14 Jun 20,Sun,4302,3101,777,38,1267,111,17,26,120,12,1934,579,19,745,109,14,15,82,6,1531,34071,1121958,4556,264,7876,1995,137,164,940,103,13929,3806,237,5344,1819,101,114,673,85,12951,685,33,132,0,0,16,24,0,791,368,10,111,62,4,4,11,2,1452,10,0,0,5,0,0,0,0,42,12,0,4,1,0,0,0,0,44,4302,34071,13
15 Jun 20,Mon,3495,3233,570,17,1029,85,36,25,80,49,1604,608,20,848,112,17,20,85,12,1511,26975,1148933,5030,281,8758,2080,159,183,1020,152,14372,4018,247,6055,1868,112,129,747,96,13056,87,0,141,0,14,6,0,0,1088,381,10,131,62,6,5,11,2,1359,9,0,6,0,0,0,0,0,73,13,0,5,1,0,0,0,0,46,3495,26975,13
16 Jun 20,Tue,6296,3833,1012,83,1859,174,65,46,184,55,2818,693,29,1072,125,25,26,108,20,1735,23580,1172513,5319,347,9494,1842,174,204,1124,158,13921,4334,265,6852,1899,124,147,834,107,13168,231,0,235,323,28,6,0,0,2709,293,9,144,81,10,5,9,2,1505,9,0,0,4,0,0,0,0,44,14,0,4,2,0,0,0,0,45,6296,23580,27
